croptype,soiltype,season,month,climate,precipitation,wind,humidity,farming
Coffee,Lateritic Red Soil,Hot Dry Season,December,Humid Subtropical Climate,22.143902705814313,31.005761092114803,32.45219242247004,no
Mango,Black Soil,Southwest Monsoon,December,Tropical Wet (Monsoon),82.0028703513922,64.6461446199043,18.995264307177763,no
Betel Leaves,Laterite Soil,Northeast Monsoon,December,Humid Subtropical Climate,68.50496803739235,65.03079515391782,81.39491963350079,no
Black Pepper,Black Soil,Northeast Monsoon,November,Humid Subtropical Climate,69.20707960813172,18.63707357784715,84.26917604771477,yes
Banana,Lateritic Red Soil,Hot Dry Season,December,Tropical Savanna,62.86788596551606,26.968891996578847,57.869915550982654,no
Tea,Lateritic Red Soil,Southwest Monsoon,July,Tropical Savanna,23.147355458221842,47.24162560154066,40.67188494112537,yes
Black Pepper,Alluvial Soil,Northeast Monsoon,April,Tropical Wet (Monsoon),24.198065016032878,58.87104847766744,89.34250085713929,no
Black Pepper,Alluvial Soil,Northeast Monsoon,July,Humid Subtropical Climate,84.73559612336076,9.930621462917333,67.8813914878657,yes
Coffee,Alluvial Soil,Northeast Monsoon,January,Mountain Climate,93.70925861467666,15.901805313042061,83.88816862378643,no
Cotton,Red Soil,Northeast Monsoon,August,Tropical Savanna,10.104840737644516,62.311468890482914,27.556119697929038,no
Betel Leaves,Red Soil,Hot Dry Season,June,Tropical Wet and Dry (Monsoon-Influenced),2.7800063814564235,14.607011961376982,47.437493161618285,no
Mango,Laterite Soil,Northeast Monsoon,July,Humid Subtropical Climate,22.568097112050978,29.422715199558326,6.872830074989644,no
Turmeric,Red Soil,Northeast Monsoon,April,Subtropical Highland Climate,52.08916456750854,50.245608138841426,37.356815631153076,yes
Turmeric,Red Soil,Southwest Monsoon,March,Tropical Savanna,62.162657504125264,44.92222651080403,95.0774247113702,yes
Oilseeds,Red Soil,Southwest Monsoon,October,Tropical Semi-Arid,80.01575815462417,29.30725620678688,78.0896226414525,yes
Banana,Alluvial Soil,Hot Dry Season,September,Tropical Savanna,35.73107490434355,24.37990123062297,39.05858951534293,yes
Cardamom,Black Soil,Northeast Monsoon,October,Tropical Wet (Monsoon),74.97060232017826,56.06292201682476,67.06303830481991,no
Black Pepper,Red Soil,Northeast Monsoon,August,Subtropical Highland Climate,75.26126761804865,87.29768622878328,86.104248478171,no
Sugarcane,Lateritic Red Soil,Northeast Monsoon,November,Mountain Climate,76.48904132811548,70.24363451967545,70.55968828078015,yes
Coconut,Mountain Soil,Southwest Monsoon,December,Tropical Semi-Arid,90.28496976239325,96.29660194124548,30.716611154786623,no
Rice,Lateritic Red Soil,Northeast Monsoon,June,Tropical Wet (Monsoon),20.702419170326635,57.736995876606144,93.23106899029385,no
Coffee,Black Soil,Hot Dry Season,November,Tropical Savanna,20.850451908203592,56.91838251892146,48.194944522085805,no
Soybeans,Mountain Soil,Northeast Monsoon,December,Subtropical Highland Climate,52.48799793287002,93.54125660436426,94.28506037797611,yes
Cotton,Black Soil,Northeast Monsoon,December,Subtropical Highland Climate,79.8233846077511,75.85081869813067,8.206250297807472,no
Turmeric,Mountain Soil,Northeast Monsoon,August,Subtropical Highland Climate,48.381519615173076,86.53386831297198,4.33804549879182,no
Betel Leaves,Red Soil,Hot Dry Season,July,Subtropical Highland Climate,80.70876192937193,50.03941995751544,45.67904712613704,no
Coffee,Laterite Soil,Northeast Monsoon,July,Humid Subtropical Climate,76.65459908520705,75.72578978123924,77.84535413757271,no
Tapioca,Alluvial Soil,Northeast Monsoon,July,Subtropical Highland Climate,45.26047550393605,90.89348545161403,59.53164810737499,no
Cotton,Laterite Soil,Northeast Monsoon,July,Tropical Semi-Arid,34.65239363310941,49.651221134477844,88.37117479012984,no
Coffee,Alluvial Soil,Northeast Monsoon,May,Tropical Semi-Arid,43.59479091055356,62.34200701470019,1.6186950150741342,no
Betel Leaves,Alluvial Soil,Southwest Monsoon,March,Tropical Semi-Arid,31.17922748182901,59.860602459280244,81.721659217913,no
Tapioca,Mountain Soil,Southwest Monsoon,January,Mountain Climate,48.94926226658105,57.82056989959844,90.6406607914638,no
Betel Leaves,Laterite Soil,Southwest Monsoon,February,Tropical Semi-Arid,87.76913258952868,8.722971794847501,57.55298146447665,yes
